matter_ref,client_firm,debtor_first_name,debtor_last_name,email,phone,amount_owed,currency,address_line1,address_line2,town,county,eircode,instruction_date,matter_type,notes
CP-2026-0019,Westgate Lettings,Brian,Daly,brian.daly19@example.com,+353 87 988 3600,3665.02,EUR,35 Grange Close,,Ranelagh,Dublin,D06 HTY0,16/08/2026,Service charge,
CP-2026-0020,Corrib Facilities Ltd,Maeve,McCarthy,maeve.mccarthy20@example.com,+353 87 889 4931,2193.90,EUR,38 Church Road,,Maynooth,Kildare,W23 3850,10/07/2026,Unpaid invoice,
CP-2026-0021,Liffey Estates Ltd,Aoife,Hayes,aoife.hayes21@example.com,+353 85 234 2274,TBC,EUR,112 Mill Lane,,Blackrock,Cork,T12 3PVY,21/06/2026,Unpaid invoice,Client to confirm balance
CP-2026-0022,Southside Credit Union,Siobhán,Daly,siobhan.daly22@example.com,+353 85 864 9447,4434.03,EUR,44 Park Drive,Apartment 23,Douglas,Cork,T12 456R,06/06/2026,Rent arrears,
CP-2026-0023,Corrib Facilities Ltd,Siobhán,McCarthy,siobhan.mccarthy23@example.com,+353 85 658 8346,184.12,EUR,48 Harbour View,,Salthill,Galway,H91 YKP9,18/08/2026,Unpaid invoice,
CP-2026-0024,Southside Credit Union,Padraig,Lynch,padraig.lynch24@example.com,+353 87 381 1086,122.51,EUR,27 Park Drive,,Ranelagh,Dublin,D02 XY,06/06/2026,Rent arrears,
CP-2026-0025,Harbour Property Management,Clodagh,Ryan,clodagh.ryan25@example.com,+353 86 570 5452,769.18,EUR,106 Cypress Grove,,Tramore,Waterford,X91 4WNH,06/07/2026,Rent arrears,
CP-2026-0026,Southside Credit Union,Fergal,Ryan,fergal.ryan26@example.com,+353 83 741 3453,4732.33,EUR,23 Beech Park,Apartment 39,Navan,Meath,C15 7549,16/08/2026,Service charge,
CP-2026-0027,Corrib Facilities Ltd,Padraig,Byrne,padraig.byrne27@example.com,+353 83 273 8924,0.01,EUR,45 Mill Lane,,Drumcondra,Dublin,D09 HWDN,25/07/2026,Loan arrears,
CP-2026-0028,Corrib Facilities Ltd,Róisín,Ryan,roisin.ryan28@example.com,+353 85 666 4691,4493.30,EUR,73 Seafield Road,,Douglas,Cork,T12 T9K2,15/08/2026,Rent arrears,
CP-2026-0029,Liffey Estates Ltd,Laura,O'Brien,laura.obrien29@example.com,+353 87 936 3867,4289.39,EUR,31 Grange Close,,Tramore,Waterford,X91 T3YC,03/07/2026,Unpaid invoice,
CP-2026-0030,Corrib Facilities Ltd,Laura,Daly,laura.daly30@example.com,+353 85 571 7373,4772.68,EUR,25 Church Road,,Clontarf,Dublin,D03 3TPV,01/03/2027,Loan arrears,
CP-2026-0031,Harbour Property Management,Deirdre,Keane,deirdre.keane31@example.com,+353 85 406 3521,2204.77,EUR,25 Oak Lawn,Apartment 35,Clontarf,Dublin,D03 DW25,24/07/2026,Rent arrears,
CP-2026-0032,Liffey Estates Ltd,Ciara,O'Sullivan,ciara.osullivan32@example.com,+353 83 897 1664,438.59,EUR,49 Park Drive,,Salthill,Galway,H91 T0EF,03/06/2026,Loan arrears,
CP-2026-0033,Corrib Facilities Ltd,  KEVIN,FITZGERALD ,kevin.fitzgerald33@example.com,+353 83 506 7117,2993.51,EUR,35 Harbour View,,Naas,Kildare,W91 CW52,12/07/2026,Unpaid invoice,
CP-2026-0034,Southside Credit Union,Rory,Daly,rory.daly34@example.com,+353 83 335 6324,3701.57,EUR,47 Station Road,,Naas,Kildare,W91 977T,17/06/2026,Loan arrears,
CP-2026-0035,Westgate Lettings,Eoin,Connolly,eoin.connolly35@example.com,+353 87 395 6699,4241.18,EUR,68 Cypress Grove,,Drumcondra,Dublin,D09 XD8V,19/06/2026,Unpaid invoice,
CP-2026-0036,Southside Credit Union,Brian,Kennedy,brian.kennedy36@example.com,+353 86 226 1112,1273.06,EUR,90 Main Street,,Ranelagh,Dublin,D06 2WX3,2026-06-26,Service charge,
CP-2026-0037,Southside Credit Union,Sinéad,Kelly,sinead.kelly37@example.com,+353 86 397 9652,1709.90,EUR,115 Main Street,Apartment 22,Castletroy,Limerick,V94 472N,17/08/2026,Loan arrears,
CP-2026-0038,Southside Credit Union,Sinéad,Murphy,sinead.murphy38@example.com,+353 83 794 8840,284.16,EUR,10 Park Drive,,Ranelagh,Dublin,D06 0KT5,01/06/2026,Unpaid invoice,
CP-2026-0039,Liffey Estates Ltd,Tadhg,Keane,tadhg.keane39@example.com,+353 83 182 1422,3272.36,EUR,,Apartment 30,,Dublin,D06 XPD2,09/07/2026,Service charge,
CP-2026-0040,Westgate Lettings,Darragh,Hayes,darragh.hayes40@example.com,+353 83 259 1729,3349.88,EUR,34 Seafield Road,,Maynooth,Kildare,W23 VNKD,09/07/2026,Service charge,
CP-2026-0041,Corrib Facilities Ltd,Orla,Farrell,orla.farrell41@example.com,+353 86 352 4660,4440.22,EUR,45 Church Road,,Naas,Kildare,W91 10WE,13/07/2026,Unpaid invoice,
CP-2026-0042,Liffey Estates Ltd,Ciarán,Brennan,ciaran.brennan42@example.com,+353 86 161 7434,60.39,GBP,35 Church Road,,Blackrock,Cork,T12 WPXF,06/07/2026,Rent arrears,
CP-2026-0043,Southside Credit Union,Liam,Lynch,liam.lynch43@example.com,+353 85 166 4438,2546.00,EUR,97 Beech Park,,Maynooth,Kildare,W23 1T55,07/08/2026,Unpaid invoice,
CP-2026-0044,Southside Credit Union,Ciara,O'Brien,ciara.obrien44@example.com,+353 85 418 9547,2653.61,EUR,25 Station Road,,Douglas,Cork,T12 6PFC,04/08/2026,Service charge,
CP-2026-0045,Corrib Facilities Ltd,Deirdre,Hayes, DEIRDRE.HAYES45@EXAMPLE.COM ,+353 85 189 1703,2399.28,EUR,77 Harbour View,,Drumcondra,Dublin,D09 9F9H,15/07/2026,Rent arrears,
CP-2026-0046,Corrib Facilities Ltd,Rory,Kelly,rory.kelly46@example.com,+353 87 554 1449,1718.64,EUR,76 Church Road,,Tramore,Waterford,X91 N117,03/08/2026,Service charge,
CP-2026-0047,Liffey Estates Ltd,Deirdre,Fitzgerald,deirdre.fitzgerald47@example.com,+353 83 154 7846,4984.21,EUR,51 Beech Park,,Ranelagh,Dublin,D06 0FHD,04/08/2026,Service charge,
CP-2026-0048,Southside Credit Union,Aoife,O'Sullivan,aoife.osullivan48@example.com,+353 83 261 6446,744.07,EUR,75 Harbour View,,Athlone,Westmeath,N37 EAVA,27/06/2026,Service charge,
CP-2026-0049,Westgate Lettings,Declan,O'Brien,declan.obrien49@example.com,+353 83 518 1515,1067.57,EUR,5 Castle Avenue,Apartment 33,Clontarf,Dublin,D03 N71T,14/06/2026,Service charge,
CP-2026-0016,Corrib Facilities Ltd,Tadhg,Gallagher,tadhg.gallagher16@example.com,+353 87 768 8654,1025.83,EUR,58 Main Street,Apartment 11,Swords,Dublin,K67 T33K,27/06/2026,Service charge,Updated balance per client email
